	Playing Time	Starts	Subs	Team Success	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Alp Abay		DF	Antalyaspor	20-001	2006	0					0		0	0		1							Matches
2	Myenty Abena	sr SUR	DF	Gaziantep FK	31-151	1994	23	1,836	80	61.8	20.4	20	85	17	3	44	4	1.09	27	40	-13	-0.64	-0.56	Matches
3	Tammy Abraham	eng ENG	FW	Beşiktaş	28-222	1997	18	1,247	69	42.0	13.9	15	78	5	3	24	0	1.78	22	17	+5	+0.36	-0.37	Matches
4	Yaw Ackah	gh GHA	MF	Kayserispor	26-345	1999	3	184	61	6.2	2.0	2	77	0	1	31	0	0.67	1	3	-2	-0.98	+0.12	Matches
5	Emmanuel Agbadou	ci CIV	DF	Beşiktaş	28-329	1997	12	1,001	83	33.7	11.1	11	90	11	1	11	1	1.67	16	11	+5	+0.45	-0.19	Matches
6	Dan Agyei	gh GHA	MF,FW	Kocaelispor	28-345	1997	30	2,052	68	69.1	22.8	22	85	8	8	24	1	1.10	20	24	-4	-0.18	+0.51	Matches
7	Youssef Aït Bennasser	ma MAR	MF,DF	Kayserispor	29-309	1996	21	1,468	70	49.4	16.3	19	74	9	2	32	0	0.95	8	28	-20	-1.23	-0.27	Matches
8	Samet Akaydın	tr TUR	DF	Rizespor	32-060	1994	29	2,566	88	86.4	28.5	29	88	24	0		0	1.28	38	41	-3	-0.11	+0.56	Matches
9	Emre Akbaba	tr TUR	MF,FW	Eyüpspor	33-220	1992	22	987	45	33.2	11.0	10	75	3	12	20	2	1.05	9	17	-8	-0.73	-0.41	Matches
10	Mehmet Akbal		MF	Gençlerbirliği	18-269	2007	0					0		0	0		1							Matches
11	Halil Akbunar	tr TUR	MF,FW	Eyüpspor	32-184	1993	12	507	42	17.1	5.6	6	57	0	6	27	3	0.67	4	10	-6	-1.07	-0.74	Matches
12	Yusuf Akçiçek	tr TUR	DF	Fenerbahçe	20-107	2006	1	90	90	3.0	1.0	1	90	1	0		0	1.00	0	0	0	0.00	-1.25	Matches
13	Ümit Akdag	ro ROU	DF	Alanyaspor	22-218	2003	30	2,621	87	88.2	29.1	30	87	26	0		0	1.07	33	36	-3	-0.10	-1.13	Matches
14	Cihan Akgün		DF	Galatasaray	16-285	2009	0					0		0	0		2							Matches
15	Tuğbey Akgün	tr TUR	MF	Fatih Karagümrük	23-033	2003	1	5	5	0.2	0.1	0		0	1	5	2	0.00	0	0	0	0.00	+0.73	Matches
16	Yunus Akgün	tr TUR	MF	Galatasaray	25-309	2000	28	1,813	65	61.0	20.1	23	76	7	5	11	2	2.32	50	16	+34	+1.69	+0.60	Matches
17	Gökhan Akkan	tr TUR	GK	Gençlerbirliği	31-131	1995	4	360	90	12.1	4.0	4	90	4	0		5	0.00	3	8	-5	-1.25	-0.94	Matches
18	Hamza Akman	tr TUR	MF	Eyüpspor	21-227	2004	0					0		0	0		4							Matches
19	Muhammet Akmelek		FW	Gaziantep FK	16-340	2009	1	13	13	0.4	0.1	0		0	1	13	10	0.00	0	1	-1	-6.92	-6.53	Matches
20	Fatih Aksoy	tr TUR	DF,MF	Alanyaspor	28-187	1997	18	840	47	28.3	9.3	9	85	7	9	9	14	1.26	11	15	-4	-0.43	-0.64	Matches
21	Adnan Aktas		DF	Kasımpaşa	19-183	2006	0					0		0	0		1							Matches
22	Kerem Aktürkoğlu	tr TUR	MF,FW	Fenerbahçe	27-203	1998	28	1,860	66	62.6	20.7	23	74	7	5	32	1	2.29	51	25	+26	+1.26	+0.12	Matches
23	Kaan Akyazi		FW	Konyaspor	20-258	2005	5	25	5	0.8	0.3	0		0	5	5	8	0.20	1	0	+1	+3.60	+3.81	Matches
24	Ufuk Akyol	de GER	MF	Konyaspor	28-258	1997	1	2	2	0.1	0.0	0		0	1	2	1	1.00	0	0	0	0.00	+0.18	Matches
25	Enes Albak	tr TUR	DF	Samsunspor	20-361	2005	2	6	3	0.2	0.1	0		0	2	3	11	1.50	1	2	-1	-15.00	-14.97	Matches
