Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Myenty Abena	sr SUR	DF	Gaziantep FK	31-149	1994	20.4	1	9	2	22.2	0.44	0.10	0.11	0.50	0	0	Matches
2	Tammy Abraham	eng ENG	FW	Beşiktaş	28-220	1997	13.9	7	32	16	50.0	2.31	1.15	0.19	0.38	1	2	Matches
3	Yaw Ackah	gh GHA	MF	Kayserispor	26-343	1999	2.0	0	2	1	50.0	0.98	0.49	0.00	0.00	0	0	Matches
4	Emmanuel Agbadou	ci CIV	DF	Beşiktaş	28-327	1997	11.1	1	9	4	44.4	0.81	0.36	0.11	0.25	0	0	Matches
5	Dan Agyei	gh GHA	MF,FW	Kocaelispor	28-343	1997	22.8	5	46	17	37.0	2.02	0.75	0.11	0.29	0	0	Matches
6	Youssef Aït Bennasser	ma MAR	MF,DF	Kayserispor	29-307	1996	16.3	0	7	0	0.0	0.43	0.00	0.00		0	0	Matches
7	Samet Akaydın	tr TUR	DF	Rizespor	32-058	1994	28.5	3	18	7	38.9	0.63	0.25	0.17	0.43	0	0	Matches
8	Emre Akbaba	tr TUR	MF,FW	Eyüpspor	33-218	1992	11.0	4	26	10	38.5	2.37	0.91	0.12	0.30	1	1	Matches
9	Halil Akbunar	tr TUR	MF,FW	Eyüpspor	32-182	1993	5.6	2	10	3	30.0	1.78	0.53	0.20	0.67	0	0	Matches
10	Yusuf Akçiçek	tr TUR	DF	Fenerbahçe	20-105	2006	1.0	0	0	0		0.00	0.00			0	0	Matches
11	Ümit Akdag	ro ROU	DF	Alanyaspor	22-216	2003	29.1	1	20	2	10.0	0.69	0.07	0.05	0.50	0	0	Matches
12	Tuğbey Akgün	tr TUR	MF	Fatih Karagümrük	23-031	2003	0.1	0	0	0		0.00	0.00			0	0	Matches
13	Yunus Akgün	tr TUR	MF	Galatasaray	25-307	2000	20.1	7	41	11	26.8	2.04	0.55	0.17	0.64	0	0	Matches
14	Gökhan Akkan	tr TUR	GK	Gençlerbirliği	31-129	1995	4.0	0	0	0		0.00	0.00			0	0	Matches
15	Muhammet Akmelek		FW	Gaziantep FK	16-338	2009	0.1	0	0	0		0.00	0.00			0	0	Matches
16	Fatih Aksoy	tr TUR	DF,MF	Alanyaspor	28-185	1997	9.3	0	6	2	33.3	0.64	0.21	0.00	0.00	0	0	Matches
17	Kerem Aktürkoğlu	tr TUR	MF,FW	Fenerbahçe	27-201	1998	20.7	6	40	19	47.5	1.94	0.92	0.13	0.26	1	1	Matches
18	Kaan Akyazi		FW	Konyaspor	20-256	2005	0.3	0	0	0		0.00	0.00			0	0	Matches
19	Ufuk Akyol	de GER	MF	Konyaspor	28-256	1997	0.0	0	0	0		0.00	0.00			0	0	Matches
20	Enes Albak	tr TUR	DF	Samsunspor	20-359	2005	0.1	0	0	0		0.00	0.00			0	0	Matches
21	Danijel Aleksić	rs SRB	MF	Konyaspor	35-010	1991	2.2	1	5	2	40.0	2.31	0.92	0.20	0.50	0	0	Matches
22	Ömer Ali Şahiner	tr TUR	DF	Başakşehir	34-128	1992	19.5	2	11	4	36.4	0.56	0.21	0.18	0.50	0	0	Matches
23	Xusniddin Aliqulov	uz UZB	DF	Rizespor	27-036	1999	4.7	0	3	1	33.3	0.63	0.21	0.00	0.00	0	0	Matches
24	Fidan Aliti	xk KVX	DF	Alanyaspor	32-219	1993	28.7	0	9	2	22.2	0.31	0.07	0.00	0.00	0	0	Matches
25	Jim Allevinah	ga GAB	MF	Kasımpaşa	31-072	1995	2.8	1	7	2	28.6	2.54	0.73	0.14	0.50	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Barış Alper Yılmaz	tr TUR	MF,FW	Galatasaray	25-352	2000	25.6	8	55	24	43.6	2.15	0.94	0.09	0.21	3	3	Matches
27	Taha Altıkardeş	tr TUR	DF	Göztepe	22-261	2003	14.4	1	11	3	27.3	0.76	0.21	0.09	0.33	0	0	Matches
28	Metehan Altunbaş	tr TUR	MF,FW	Eyüpspor	23-123	2003	10.4	6	22	10	45.5	2.11	0.96	0.23	0.50	1	1	Matches
29	Edson Álvarez	mx MEX	MF	Fenerbahçe	28-198	1997	8.5	0	10	5	50.0	1.18	0.59	0.00	0.00	0	0	Matches
30	Michael Amir Murillo	pa PAN	DF	Beşiktaş	30-088	1996	9.6	1	12	3	25.0	1.24	0.31	0.08	0.33	0	0	Matches
31	Sofyan Amrabat	ma MAR	MF	Fenerbahçe	29-262	1996	1.1	0	0	0		0.00	0.00			0	0	Matches
32	Charles André Raux	fr FRA	MF	Eyüpspor	24-176	2001	5.6	2	14	4	28.6	2.50	0.72	0.14	0.50	0	0	Matches
33	Yhoan Andzouana	cg CGO	DF,MF	Konyaspor	29-148	1996	28.1	2	31	8	25.8	1.10	0.29	0.06	0.25	0	0	Matches
34	Seyfettin Anıl Yaşar	tr TUR	DF	Eyüpspor	23-313	2002	3.9	0	1	1	100.0	0.25	0.25	0.00	0.00	0	0	Matches
35	Taylan Antalyalı	tr TUR	MF	Rizespor	31-122	1995	13.5	0	11	3	27.3	0.81	0.22	0.00	0.00	0	0	Matches
36	Alexis Antunes	ch SUI	MF	Göztepe	25-283	2000	6.8	1	16	8	50.0	2.34	1.17	0.06	0.13	0	0	Matches
37	Aaron Appindangoyé	ga GAB	DF	Kocaelispor	34-079	1992	3.5	0	1	1	100.0	0.29	0.29	0.00	0.00	0	0	Matches
38	Adam Arous	tn TUN	DF	Kasımpaşa	21-297	2004	17.6	1	4	1	25.0	0.23	0.06	0.25	1.00	0	0	Matches
39	Marco Asensio	es ESP	MF	Fenerbahçe	30-109	1996	20.8	11	68	26	38.2	3.27	1.25	0.16	0.42	0	0	Matches
40	Kristjan Asllani	al ALB	MF	Beşiktaş	24-062	2002	9.0	2	19	3	15.8	2.11	0.33	0.00	0.00	2	2	Matches
41	Yaser Asprilla	co COL	MF	Galatasaray	22-172	2003	1.8	0	8	1	12.5	4.53	0.57	0.00	0.00	0	0	Matches
42	Kouadou Assoumou	fr FRA	MF,FW	Samsunspor	23-205	2002	4.1	1	8	2	25.0	1.97	0.49	0.13	0.50	0	0	Matches
