Playing Time;Performance;Per 90 Minutes;;;;;;;;;;;;;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
1;Myenty Abena;sr SUR;DF;Gaziantep FK;31-142;1994;22;19;1,746;19.Nis;1;1;2;1;0;0;2;1;0.05;0.05;0.10;0.05;0.10;Matches
2;Tammy Abraham;eng ENG;FW;Beşiktaş;28-213;1997;18;15;1,247;13.Eyl;7;1;8;6;1;2;3;0;0.51;0.07;0.58;0.43;0.51;Matches
3;Yaw Ackah;gh GHA;MF;Kayserispor;26-336;1999;3;2;184;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
4;Emmanuel Agbadou;ci CIV;DF;Beşiktaş;28-320;1997;11;10;911;10.Oca;1;1;2;1;0;0;3;0;0.10;0.10;0.20;0.10;0.20;Matches
5;Dan Agyei;gh GHA;MF,FW;Kocaelispor;28-336;1997;28;20;1,874;20.Ağu;4;0;4;4;0;0;0;0;0.19;0.00;0.19;0.19;0.19;Matches
6;Youssef Aït Bennasser;ma MAR;MF,DF;Kayserispor;29-300;1996;20;18;1,378;15.Mar;0;0;0;0;0;0;7;0;0.00;0.00;0.00;0.00;0.00;Matches
7;Samet Akaydın;tr TUR;DF;Rizespor;32-051;1994;28;28;2,476;27.May;3;1;4;3;0;0;11;1;0.11;0.04;0.15;0.11;0.15;Matches
8;Emre Akbaba;tr TUR;MF,FW;Eyüpspor;33-211;1992;21;10;983;10.Eyl;3;0;3;2;1;1;3;0;0.27;0.00;0.27;0.18;0.18;Matches
9;Halil Akbunar;tr TUR;MF,FW;Eyüpspor;32-175;1993;12;6;507;5.Haz;2;0;2;2;0;0;1;0;0.36;0.00;0.36;0.36;0.36;Matches
10;Yusuf Akçiçek;tr TUR;DF;Fenerbahçe;20-098;2006;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
11;Ümit Akdag;ro ROU;DF;Alanyaspor;22-209;2003;29;29;2,531;28.Oca;1;2;3;1;0;0;7;0;0.04;0.07;0.11;0.04;0.11;Matches
12;Tuğbey Akgün;tr TUR;MF;Fatih Karagümrük;23-024;2003;1;0;5;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
13;Yunus Akgün;tr TUR;MF;Galatasaray;25-300;2000;27;22;1,723;19.Oca;7;9;16;7;0;0;1;0;0.37;0.47;0.84;0.37;0.84;Matches
14;Gökhan Akkan;tr TUR;GK;Gençlerbirliği;31-122;1995;4;4;360;4.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
15;Muhammet Akmelek;;FW;Gaziantep FK;16-331;2009;1;0;13;0.1;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
16;Fatih Aksoy;tr TUR;DF,MF;Alanyaspor;28-178;1997;17;8;750;8.Mar;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
17;Kerem Aktürkoğlu;tr TUR;MF,FW;Fenerbahçe;27-194;1998;27;22;1,77;19.Tem;6;5;11;5;1;1;3;0;0.31;0.25;0.56;0.25;0.51;Matches
18;Kaan Akyazi;;FW;Konyaspor;20-249;2005;5;0;25;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
19;Ufuk Akyol;de GER;MF;Konyaspor;28-249;1997;1;0;2;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
20;Enes Albak;tr TUR;DF;Samsunspor;20-352;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
21;Danijel Aleksić;rs SRB;MF;Konyaspor;35-003;1991;3;3;195;2.Şub;1;0;1;1;0;0;0;0;0.46;0.00;0.46;0.46;0.46;Matches
22;Ömer Ali Şahiner;tr TUR;DF,MF;Başakşehir;34-121;1992;24;20;1,666;18.May;2;0;2;2;0;0;5;0;0.11;0.00;0.11;0.11;0.11;Matches
23;Xusniddin Aliqulov;uz UZB;DF;Rizespor;27-029;1999;7;5;426;4.Tem;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
24;Fidan Aliti;xk KVX;DF;Alanyaspor;32-212;1993;27;27;2,402;26.Tem;0;1;1;0;0;0;10;0;0.00;0.04;0.04;0.00;0.04;Matches
25;Jim Allevinah;ga GAB;MF;Kasımpaşa;31-065;1995;7;3;236;2.Haz;1;0;1;1;0;0;2;0;0.38;0.00;0.38;0.38;0.38;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
26;Barış Alper Yılmaz;tr TUR;MF,FW;Galatasaray;25-345;2000;29;26;2,24;24.Eyl;8;10;18;5;3;3;7;0;0.32;0.40;0.72;0.20;0.60;Matches
27;Taha Altıkardeş;tr TUR;DF;Göztepe;22-254;2003;26;14;1,276;14.Şub;1;0;1;1;0;0;0;0;0.07;0.00;0.07;0.07;0.07;Matches
28;Metehan Altunbaş;tr TUR;MF,FW;Eyüpspor;23-116;2003;15;9;789;8.Ağu;5;0;5;4;1;1;4;0;0.57;0.00;0.57;0.46;0.46;Matches
29;Edson Álvarez;mx MEX;MF;Fenerbahçe;28-191;1997;12;10;762;8.May;0;1;1;0;0;0;4;0;0.00;0.12;0.12;0.00;0.12;Matches
30;Michael Amir Murillo;pa PAN;DF;Beşiktaş;30-081;1996;10;9;778;8.Haz;1;1;2;1;0;0;4;0;0.12;0.12;0.23;0.12;0.23;Matches
31;Sofyan Amrabat;ma MAR;MF;Fenerbahçe;29-255;1996;2;1;97;1.Oca;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
32;Charles André Raux;fr FRA;MF;Eyüpspor;24-169;2001;13;4;408;4.May;2;0;2;2;0;0;3;0;0.44;0.00;0.44;0.44;0.44;Matches
33;Yhoan Andzouana;cg CGO;DF,MF;Konyaspor;29-141;1996;29;27;2,435;27.Oca;2;4;6;2;0;0;3;0;0.07;0.15;0.22;0.07;0.22;Matches
34;Seyfettin Anıl Yaşar;tr TUR;DF;Eyüpspor;23-306;2002;5;4;355;3.Eyl;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
35;Taylan Antalyalı;tr TUR;MF;Rizespor;31-115;1995;26;13;1,126;12.May;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
36;Alexis Antunes;ch SUI;MF;Göztepe;25-276;2000;11;6;528;5.Eyl;1;0;1;1;0;0;2;0;0.17;0.00;0.17;0.17;0.17;Matches
37;Aaron Appindangoyé;ga GAB;DF;Kocaelispor;34-072;1992;4;4;315;3.May;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
38;Adam Arous;tn TUN;DF;Kasımpaşa;21-290;2004;18;16;1,4;15.Haz;1;0;1;1;0;0;1;0;0.06;0.00;0.06;0.06;0.06;Matches
39;Marco Asensio;es ESP;MF;Fenerbahçe;30-102;1996;24;22;1,86;20.Tem;11;12;23;11;0;0;2;0;0.53;0.58;1.Kas;0.53;1.Kas;Matches
40;Kristjan Asllani;al ALB;MF;Beşiktaş;24-055;2002;12;9;722;8.0;2;2;4;0;2;2;0;1;0.25;0.25;0.50;0.00;0.25;Matches
41;Yaser Asprilla;co COL;MF;Galatasaray;22-165;2003;7;1;159;1.Ağu;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
42;Kouadou Assoumou;fr FRA;MF,FW;Samsunspor;23-198;2002;6;5;366;4.Oca;1;0;1;1;0;0;0;0;0.25;0.00;0.25;0.25;0.25;Matches
43;Felipe Augusto;br BRA;MF,FW;Trabzonspor;22-074;2004;31;25;2,12;23.Haz;13;0;13;13;0;0;1;0;0.55;0.00;0.55;0.55;0.55;Matches
44;Loide Augusto;ao ANG;MF,FW;Rizespor;26-066;2000;19;14;1,081;12.0;3;2;5;3;0;0;5;0;0.25;0.17;0.42;0.25;0.42;Matches
45;Furkan Ayaz;;;Gençlerbirliği;16-214;2009;3;0;20;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
46;Eyüp Aydın;tr TUR;MF;Samsunspor;21-274;2004;6;4;326;3.Haz;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
47;Eyüp Aydın;tr TUR;MF;Kasımpaşa;21-274;2004;4;0;76;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
48;Oğuz Aydın;tr TUR;MF,DF;Fenerbahçe;25-188;2000;19;4;543;6.0;0;1;1;0;0;0;1;0;0.00;0.17;0.17;0.00;0.17;Matches
49;Taylan Aydın;tr TUR;DF;Kasımpaşa;20-082;2006;2;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
50;Soner Aydoğdu;tr TUR;MF;Samsunspor;35-118;1991;8;0;105;1.Şub;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
51;Kaan Ayhan;tr TUR;DF;Galatasaray;31-174;1994;17;1;303;3.Nis;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
52;Ousseynou Ba;sn SEN;DF;Başakşehir;30-173;1995;15;9;989;11.0;0;0;0;0;0;0;7;1;0.00;0.00;0.00;0.00;0.00;Matches
