Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Fls,Fld,Off,Crs,Int,TklW,2CrdY,Mn/MP,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,Piyasa_Degeri
Myenty Abena,sr SUR,DF,Gaziantep FK,31-151,1994,23,20,1836,20.4,1,1,0,0,2,1,9,2,22.2,0.44,0.1,0.11,0.5,22,17,1,1,14,21,0,80.0,85.0,17,3,44.0,4,1.09,600 bin €
Emmanuel Agbadou,ci CIV,DF,Beşiktaş,28-329,1997,12,11,1001,11.1,1,1,0,0,3,0,9,4,44.4,0.81,0.36,0.11,0.25,16,5,1,3,13,15,0,83.0,90.0,11,1,11.0,1,1.67,18.00 mil. €
Dan Agyei,gh GHA,"MF,FW",Kocaelispor,28-345,1997,30,22,2052,22.8,5,0,0,0,0,0,46,17,37.0,2.02,0.75,0.11,0.29,27,26,7,65,4,3,0,68.0,85.0,8,8,24.0,1,1.1,800 bin €
Youssef Aït Bennasser,ma MAR,"MF,DF",Kayserispor,29-309,1996,21,19,1468,16.3,0,0,0,0,7,0,7,0,0.0,0.43,0.0,0.0,,23,4,2,7,17,14,0,70.0,74.0,9,2,32.0,0,0.95,1.00 mil. €
Samet Akaydın,tr TUR,DF,Rizespor,32-060,1994,29,29,2566,28.5,3,1,0,0,11,1,18,7,38.9,0.63,0.25,0.17,0.43,47,24,3,1,61,25,1,88.0,88.0,24,0,,0,1.28,1.20 mil. €
Emre Akbaba,tr TUR,"MF,FW",Eyüpspor,33-220,1992,22,10,987,11.0,4,0,1,1,3,0,26,10,38.5,2.37,0.91,0.12,0.3,14,22,6,34,10,22,0,45.0,75.0,3,12,20.0,2,1.05,500 bin €
Ümit Akdag,ro ROU,DF,Alanyaspor,22-218,2003,30,30,2621,29.1,1,2,0,0,8,0,20,2,10.0,0.69,0.07,0.05,0.5,41,25,1,30,34,24,0,87.0,87.0,26,0,,0,1.07,4.00 mil. €
Tuğbey Akgün,tr TUR,MF,Fatih Karagümrük,23-033,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,,0.0,0.0,,,1,0,0,0,0,0,0,5.0,,0,1,5.0,2,0.0,100 bin €
Yunus Akgün,tr TUR,MF,Galatasaray,25-309,2000,28,23,1813,20.1,7,9,0,0,1,0,41,11,26.8,2.04,0.55,0.17,0.64,16,20,3,41,10,13,0,65.0,76.0,7,5,11.0,2,2.32,18.00 mil. €
Muhammet Akmelek,,FW,Gaziantep FK,16-340,2009,1,0,13,0.1,0,0,0,0,1,0,0,0,,0.0,0.0,,,2,0,0,0,0,0,0,13.0,,0,1,13.0,10,0.0,50 bin €
Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,28-187,1997,18,9,840,9.3,0,0,0,0,3,0,6,2,33.3,0.64,0.21,0.0,0.0,9,11,0,5,14,8,0,47.0,85.0,7,9,9.0,14,1.26,1.20 mil. €
Kerem Aktürkoğlu,tr TUR,"MF,FW",Fenerbahçe,27-203,1998,28,23,1860,20.7,6,7,1,1,3,0,40,19,47.5,1.94,0.92,0.13,0.26,15,36,6,123,9,14,0,66.0,74.0,7,5,32.0,1,2.29,22.00 mil. €
Ufuk Akyol,de GER,MF,Konyaspor,28-258,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,,,0,0,0,0,0,0,0,2.0,,0,1,2.0,1,1.0,500 bin €
Enes Albak,tr TUR,DF,Samsunspor,20-361,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,,0.0,0.0,,,2,0,0,0,0,0,0,3.0,,0,2,3.0,11,1.5,150 bin €
