Player,Takim,Piyasa_Degeri
Uğurcan Çakır,Galatasaray,15.00 mil. €
Günay Güvenç,Galatasaray,300 bin €
Batuhan Şen,Galatasaray,200 bin €
Enes Emre Büyük,Galatasaray,-
Wilfried Singo,Galatasaray,25.00 mil. €
Davinson Sánchez,Galatasaray,18.00 mil. €
Abdülkerim Bardakcı,Galatasaray,6.50 mil. €
Arda Ünyay,Galatasaray,1.00 mil. €
Metehan Baltacı,Galatasaray,-
Ismail Jakobs,Galatasaray,8.00 mil. €
Eren Elmalı,Galatasaray,5.00 mil. €
Sacha Boey,Galatasaray,15.00 mil. €
Roland Sallai,Galatasaray,12.00 mil. €
Lucas Torreira,Galatasaray,12.00 mil. €
Mario Lemina,Galatasaray,5.00 mil. €
Kaan Ayhan,Galatasaray,2.00 mil. €
Gabriel Sara,Galatasaray,22.00 mil. €
Renato Nhaga,Galatasaray,6.00 mil. €
İlkay Gündoğan,Galatasaray,2.50 mil. €
Gökdeniz Gürpüz,Galatasaray,250 bin €
Barış Alper Yılmaz,Galatasaray,26.00 mil. €
Noa Lang,Galatasaray,25.00 mil. €
Ahmed Kutucu,Galatasaray,3.50 mil. €
Leroy Sané,Galatasaray,22.00 mil. €
Yunus Akgün,Galatasaray,18.00 mil. €
Yáser Asprilla,Galatasaray,14.00 mil. €
Armando Güner,Galatasaray,500 bin €
Victor Osimhen,Galatasaray,75.00 mil. €
Mauro Icardi,Galatasaray,5.00 mil. €
Ederson,Fenerbahce,13.00 mil. €
Tarık Çetin,Fenerbahce,600 bin €
Mert Günok,Fenerbahce,500 bin €
Engin Can Biterge,Fenerbahce,-
Jayden Oosterwolde,Fenerbahce,18.00 mil. €
Milan Škriniar,Fenerbahce,11.00 mil. €
Yiğit Efe Demir,Fenerbahce,5.00 mil. €
Çağlar Söyüncü,Fenerbahce,4.50 mil. €
Kamil Efe Üregen,Fenerbahce,100 bin €
Archie Brown,Fenerbahce,9.00 mil. €
Levent Mercan,Fenerbahce,5.00 mil. €
Mert Müldür,Fenerbahce,7.00 mil. €
Nélson Semedo,Fenerbahce,7.00 mil. €
Edson Álvarez,Fenerbahce,18.00 mil. €
İsmail Yüksek,Fenerbahce,15.00 mil. €
N'Golo Kanté,Fenerbahce,4.50 mil. €
Mattéo Guendouzi,Fenerbahce,28.00 mil. €
Fred,Fenerbahce,6.00 mil. €
Abdou Aziz Fall,Fenerbahce,100 bin €
Marco Asensio,Fenerbahce,15.00 mil. €
Talisca,Fenerbahce,8.00 mil. €
Mert Hakan Yandaş,Fenerbahce,-
Kerem Aktürkoğlu,Fenerbahce,22.00 mil. €
Oğuz Aydın,Fenerbahce,8.00 mil. €
Dorgeles Nene,Fenerbahce,18.00 mil. €
Anthony Musaba,Fenerbahce,6.00 mil. €
Emre Mor,Fenerbahce,600 bin €
Sidiki Chérif,Fenerbahce,18.00 mil. €
André Onana,Trabzonspor,12.00 mil. €
Onuralp Çevikkan,Trabzonspor,1.00 mil. €
Ahmet Yıldırım,Trabzonspor,-
Erol Can Çolak,Trabzonspor,-
Arseniy Batagov,Trabzonspor,11.00 mil. €
Chibuike Nwaiwu,Trabzonspor,7.00 mil. €
Stefan Savic,Trabzonspor,500 bin €
Arda Öztürk,Trabzonspor,100 bin €
